fuel,region,estimation_t,consumption_t,Year,type,kinitial,estimation_consumption,kfinal
E,RS,309746.57,308354.716644335,2045,projection,1,1.00451380595313,0.995506476938016
E,RS,309746.57,308130.505185784,2044,projection,1,1.00524474139048,0.994782622405741
E,RS,309746.57,307870.417768938,2043,projection,1,1.00609396721081,0.993942944288094
E,RS,309746.57,307568.790166532,2042,projection,1,1.00708062684868,0.992969155934581
E,RS,309746.57,307219.090279465,2041,projection,1,1.00822696180187,0.991840168817576
E,RS,309746.57,306813.794313074,2040,projection,1,1.00955881300413,0.990531692774108
E,RS,309746.57,306344.248485163,2039,projection,1,1.01110620333713,0.98901578953776
E,RS,309746.57,305800.515737458,2038,projection,1,1.01290401441288,0.987260377854895
E,RS,309746.57,305171.207397173,2037,projection,1,1.01499277288264,0.98522869001317
E,RS,309746.57,304443.300444271,2036,projection,1,1.0174195639976,0.982878681898789
E,RS,309746.57,303601.942055239,2035,projection,1,1.0202390930149,0.980162401976682
E,RS,309746.57,302630.244502542,2034,projection,1,1.02351491837558,0.977025329134532
E,RS,309746.57,301509.075389804,2033,projection,1,1.0273208844528,0.973405695468409
E,RS,309746.57,300216.850704075,2032,projection,1,1.03174278616798,0.969233818163264
E,RS,309746.57,298729.341375481,2031,projection,1,1.03688030299866,0.964431474981244
E,RS,309746.57,297019.508040555,2030,projection,1,1.04284924597514,0.958911370804059
E,RS,309746.57,295057.383553666,2029,projection,1,1.0497841683181,0.952576758327511
E,RS,309746.57,292810.028440606,2028,projection,1,1.05784139856682,0.945321294245828
E,RS,309746.57,290241.590755941,2027,projection,1,1.06720256457132,0.937029232497849
E,RS,309746.57,287313.508289235,2026,projection,1,1.07807868778722,0.927576077078869
E,RS,309746.57,283984.897055148,2025,projection,1,1.09071494016757,0.916829836259841
E,RS,309746.57,280213.174388526,2024,projection,1,1.10539617088283,0.904653034216088
E,RS,309746.57,275954.966165763,2023,projection,1,1.12245332745321,0.890905639942238
E,RS,309746.57,26635.649485,2022,data,1,11.6290226065047,0.0859917495938696
E,RS,309746.57,27743.286981,2021,data,1,11.1647394273119,0.0895676971693343
E,RS,309746.57,28291.178995,2020,data,1,10.9485210939686,0.091336536817825
E,RS,309746.57,42906.404723,2019,data,1,7.21912199355077,0.138521000322941
E,RS,309746.57,55992.846971,2018,data,1,5.53189535371232,0.180769869287011
E,RS,309746.57,44277.757612,2017,data,1,6.99553425253075,0.142948338740281
E,RS,309746.57,55758.51284,2016,data,1,5.55514403493549,0.180013334255808
E,RS,309746.57,135614.156942,2015,data,1,2.28402828277341,0.437822949716602
E,RS,309746.57,92284.8409574318,2014,data,1,3.35641874425375,0.297936603325202
E,RS,309746.57,90162.767659,2013,data,1,3.43541550511711,0.29108560478652
E,RS,309746.57,93209.6394071208,2012,data,1,3.32311735106162,0.30092226495719
E,RS,309746.57,110931.62771254,2011,data,1,2.79222955965862,0.358136742926775
E,RS,309746.57,194882.682829719,2010,data,1,1.58940017400441,0.629168170707164
E,RS,309746.57,326049.921769574,2009,data,1,0.949997375613249,1.05263448686316
E,RS,309746.57,262836.329733748,2008,data,1,1.17847700245157,0.848552833801348
E,RS,309746.57,178220.613753623,2007,data,1,1.73799519301511,0.575375584477412
E,RS,309746.57,128436.015629,2006,data,1,2.41167999865967,0.414648709843664
E,RS,309746.57,153627.674542,2005,data,1,2.01621596449616,0.495978614200635
E,RS,309746.57,155335.909593,2004,data,1,1.9940435589657,0.50149355840486
E,RS,309746.57,122762.099792,2003,data,1,2.52314493255503,0.396330780327931
E,RS,309746.57,144905.897318,2002,data,1,2.13757049045597,0.46782082951879
E,RS,309746.57,133694.835993,2001,data,1,2.31681775664258,0.431626526140386
E,RS,309746.57,162603.918671,2000,data,1,1.90491454653511,0.524957931482502
E,RS,309746.57,146343.5268039,1999,data,1,2.11657171837235,0.472462138334252
E,RS,309746.57,131709.17412351,1998,data,1,2.35174635374705,0.425215924500827
E,RS,309746.57,118538.256711159,1997,data,1,2.61305150416339,0.382694332050744
E,RS,309746.57,106684.431040043,1996,data,1,2.90339056018154,0.34442489884567
E,RS,309746.57,96015.9879360388,1995,data,1,3.22598951131283,0.309982408961103
E,RS,309746.57,86414.3891424349,1994,data,1,3.58443279034758,0.278984168064992
E,RS,309746.57,77772.9502281915,1993,data,1,3.9827031003862,0.251085751258493
E,RS,309746.57,69995.6552053723,1992,data,1,4.42522566709578,0.225977176132644
E,RS,309746.57,62996.0896848351,1991,data,1,4.9169174078842,0.203379458519379
E,RS,309746.57,56696.4807163516,1990,data,1,5.46324156431578,0.183041512667442
E,RS,309746.57,51026.8326447164,1989,data,1,6.07026840479531,0.164737361400697
E,RS,309746.57,45924.1493802448,1988,data,1,6.74474267199479,0.148263625260628
E,RS,309746.57,41331.7344422203,1987,data,1,7.49415852443866,0.133437262734565
E,RS,309746.57,37198.5609979983,1986,data,1,8.32684280493184,0.120093536461108
E,RS,309746.57,33478.7048981984,1985,data,1,9.25204756103538,0.108084182814998
E,RS,309746.57,30130.8344083786,1984,data,1,10.2800528455949,0.0972757645334978
E,RS,309746.57,27117.7509675407,1983,data,1,11.4222809395498,0.087548188080148
E,RS,309746.57,24405.9758707867,1982,data,1,12.6914232661665,0.0787933692721332
E,RS,309746.57,21965.378283708,1981,data,1,14.1015814068517,0.0709140323449199
E,RS,309746.57,19768.8404553372,1980,data,1,15.6684237853907,0.0638226291104279
E,RS,309746.57,17791.9564098035,1979,data,1,17.4093597615453,0.0574403661993851
E,RS,309746.57,16012.7607688231,1978,data,1,19.3437330683836,0.0516963295794466
E,RS,309746.57,14411.4846919408,1977,data,1,21.4930367426485,0.046526696621502
E,RS,309746.57,12970.3362227467,1976,data,1,23.8811519362761,0.0418740269593518
E,RS,309746.57,11673.3026004721,1975,data,1,26.534613262529,0.0376866242634166
E,RS,309746.57,10505.9723404249,1974,data,1,29.4829036250322,0.0339179618370749
E,RS,309746.57,9455.37510638237,1973,data,1,32.7587818055913,0.0305261656533674
E,RS,309746.57,8509.83759574414,1972,data,1,36.398646450657,0.0274735490880307
E,RS,309746.57,7658.85383616972,1971,data,1,40.44294050073,0.0247261941792276
E,RS,309746.57,6892.96845255275,1970,data,1,44.9366005563667,0.0222535747613049
E,RS,309746.57,6203.67160729748,1969,data,1,49.9295561737408,0.0200282172851744
E,RS,309746.57,5583.30444656773,1968,data,1,55.4772846374898,0.0180253955566569
E,RS,309746.57,5024.97400191096,1967,data,1,61.6414273749886,0.0162228560009912
E,RS,309746.57,4522.47660171986,1966,data,1,68.4904748610985,0.0146005704008921
E,RS,309746.57,4070.22894154787,1965,data,1,76.1005276234427,0.0131405133608029
E,RS,309746.57,3663.20604739309,1964,data,1,84.5561418038252,0.0118264620247226
E,RS,309746.57,3296.88544265378,1963,data,1,93.951268670917,0.0106438158222504
E,RS,309746.57,2967.1968983884,1962,data,1,104.390298523241,0.00957943424002532
E,RS,309746.57,2670.47720854956,1961,data,1,115.989220581379,0.00862149081602279
E,RS,309746.57,2403.4294876946,1960,data,1,128.876911757088,0.00775934173442051
E,SC,383236.11,383236.890027925,2100,projection,1,0.999997964632463,1.00000203537168
E,SC,383236.11,383236.816843704,2099,projection,1,0.999998155595515,1.00000184440789
E,SC,383236.11,383236.731815805,2098,projection,1,0.999998377462927,1.00000162253971
E,SC,383236.11,383236.633027528,2097,projection,1,0.999998635236084,1.00000136476578
E,SC,383236.11,383236.518251989,2096,projection,1,0.999998934725764,1.00000106527537
E,SC,383236.11,383236.384901924,2095,projection,1,0.99999928268313,1.00000071731738
E,SC,383236.11,383236.229971369,2094,projection,1,0.999999686951913,1.00000031304818
E,SC,383236.11,383236.049967901,2093,projection,1,1.00000015664523,0.999999843354796
E,SC,383236.11,383235.840833922,2092,projection,1,1.00000070235101,0.999999297649487
E,SC,383236.11,383235.59785519,2091,projection,1,1.00000133637066,0.999998663631122
E,SC,383236.11,383235.315554565,2090,projection,1,1.00000207299641,0.999997927007883
E,SC,383236.11,383234.987568555,2089,projection,1,1.00000292883343,0.999997071175144
E,SC,383236.11,383234.606503883,2088,projection,1,1.00000392317419,0.999996076841201
E,SC,383236.11,383234.16377085,2087,projection,1,1.00000507843333,0.999994921592461
E,SC,383236.11,383233.649389736,2086,projection,1,1.00000642065296,0.999993579388267
E,SC,383236.11,383233.051765878,2085,projection,1,1.00000798008968,0.999992019974
E,SC,383236.11,383232.357428356,2084,projection,1,1.00000979189667,0.999990208199213
E,SC,383236.11,383231.550726408,2083,projection,1,1.00001189691607,0.99998810322547
E,SC,383236.11,383230.613476725,2082,projection,1,1.00001434259968,0.999985657606025
E,SC,383236.11,383229.524553707,2081,projection,1,1.00001718407866,0.999982816216631
E,SC,383236.11,383228.259413428,2080,projection,1,1.00002048540623,0.999979515013415
E,SC,383236.11,383226.789540621,2079,projection,1,1.00002432100165,0.99997567958985
E,SC,383236.11,383225.08180622,2078,projection,1,1.00002877732775,0.999971223500365
E,SC,383236.11,383223.097721031,2077,projection,1,1.00003395484,0.999966046312887
E,SC,383236.11,383220.792568718,2076,projection,1,1.00003997025104,0.999960031346518
E,SC,383236.11,383218.114398652,2075,projection,1,1.00004695916156,0.999953043043496
E,SC,383236.11,383215.002855972,2074,projection,1,1.00005507911713,0.999944923916413
E,SC,383236.11,383211.387822594,2073,projection,1,1.00006451315956,0.999935491002124
E,SC,383236.11,383207.18783868,2072,projection,1,1.00007547395309,0.999924531742794
E,SC,383236.11,383202.308269166,2071,projection,1,1.00008820857835,0.999911799201714
E,SC,383236.11,383196.639174274,2070,projection,1,1.00010300410205,0.999897006506704
E,SC,383236.11,383190.052836352,2069,projection,1,1.00012019404812,0.999879820396757
E,SC,383236.11,383182.40088775,2068,projection,1,1.00014016591609,0.999859853727641
E,SC,383236.11,383173.510975625,2067,projection,1,1.00016336991619,0.999836656769179
E,SC,383236.11,383163.182889321,2066,projection,1,1.00019032911808,0.999809707100202
E,SC,383236.11,383151.184064184,2065,projection,1,1.00022165124199,0.9997783978764
E,SC,383236.11,383137.24436199,2064,projection,1,1.0002580423581,0.999742024210583
E,SC,383236.11,383121.0500124,2063,projection,1,1.00030032280293,0.999699767363779
E,SC,383236.11,383102.236581673,2062,projection,1,1.00034944567153,0.999650676398091
E,SC,383236.11,383080.38081392,2061,projection,1,1.00040651830237,0.999593646887606
E,SC,383236.11,383054.991166063,2060,projection,1,1.00047282723921,0.999527396220734
E,SC,383236.11,383025.496830035,2059,projection,1,1.00054986723262,0.999450434955191
E,SC,383236.11,382991.235004004,2058,projection,1,1.00063937493503,0.999361033604071
E,SC,383236.11,382951.436138182,2057,projection,1,1.00074336804867,0.999257184136907
E,SC,383236.11,382905.206839488,2056,projection,1,1.00086419080911,0.9991365553718
E,SC,383236.11,382851.51007236,2055,projection,1,1.00100456682949,0.998996441312276
E,SC,383236.11,382789.142239991,2054,projection,1,1.00116766049683,0.998833701344039
E,SC,383236.11,382716.70667051,2053,projection,1,1.00135714830431,0.998644691050929
E,SC,383236.11,382632.582965842,2052,projection,1,1.00157730172763,0.998425182235155
E,SC,383236.11,382534.891596881,2051,projection,1,1.00183308351349,0.998170270533433
E,SC,383236.11,382421.453047153,2050,projection,1,1.00213025955096,0.99787426880821
