fuel,region,estimation_t,consumption_t,Year,type,kinitial,estimation_consumption,kfinal
E,MS,1092715.37,107904.203997,2018,data,1,10.1267173059391,0.0987486832888605
E,MT,1085353.47,680063.816076,2018,data,1,1.59595826794982,0.626582799865191
E,PA,1079997.88,43400.76278,2018,data,1,24.8843064227822,0.0401859703465344
E,PB,1076511.11,133633.918293,2018,data,1,8.05567271955379,0.12413612553706
E,PE,1126986.54,301194.651965,2018,data,1,3.74172161639497,0.267256654161105
E,PI,1064650.88,58476.991495,2018,data,1,18.206321029546,0.0549259786409983
E,PR,1318810.2,1266960.672117,2018,data,1,1.04092433887183,0.960684617177665
E,RJ,1354384.62,603798.189565,2018,data,1,2.24310811692853,0.4458099868005
E,RN,1073238.05,81683.490612,2018,data,1,13.1389836790634,0.0761093874858425
E,RO,1060354.97,12652.76809,2018,data,1,83.8041891274402,0.0119325777197046
E,RR,1052557.7,1618,2018,data,1,650.530098887515,0.00153720788893569
E,RS,1331202.23,55992.846971,2018,data,1,23.7745051736601,0.0420618638619618
E,SC,1216521.85,77910.507963,2018,data,1,15.6143488446736,0.0640436568919827
E,SE,1066514.2,39184.482109,2018,data,1,27.2177694484583,0.0367407036015085
E,SP,2256256.95,8055019.895745,2018,data,1,0.280105695479641,3.57008092351583
E,TO,1058414.46,27604.465817,2018,data,1,38.3421460504475,0.0260809605879723
G,AC,1110233.27,100973.200377,2018,data,1,10.9953261445093,0.0909477342333652
G,AL,2083086.36,315064.33928025,2018,data,1,6.61162213647763,0.151248812977802
G,AM,2329832.34,463244.75738975,2018,data,1,5.02937659376423,0.198831799797985
G,AP,1002310.42,119179.1918415,2018,data,1,8.41011257512975,0.118904472569985
G,BA,8003530.8,1516623.00474125,2018,data,1,5.27720519534482,0.189494242308813
G,CE,6117763.69,1002978.35046325,2018,data,1,6.09959695259061,0.163945258641275
G,DF,4837195.13,822728.83494025,2018,data,1,5.87945252988647,0.17008386323672
G,ES,4445155.38,686099.79781875,2018,data,1,6.47887580514096,0.154347764963561
G,GO,8102529.98,922501.3183435,2018,data,1,8.78321777853868,0.113853490282735
G,MA,3211158.93,711528.033979,2018,data,1,4.513046256298,0.221579825069262
G,MG,22977899.77,2694720.249529,2018,data,1,8.52700749698089,0.117274436589163
G,MS,3674124.92,537544.0837655,2018,data,1,6.83502066335235,0.146305336772681
G,MT,4139391.23,393610.84665175,2018,data,1,10.5164562034093,0.0950890661890275
G,PA,3763392.71,857241.12912375,2018,data,1,4.39012149807469,0.227784128625724
G,PB,2900808.31,481051.66461975,2018,data,1,6.03013880493057,0.165833661935335
G,PE,6246781.13,988925.5845805,2018,data,1,6.31673528059229,0.15830962602983
G,PI,2516320.65,420616.43754025,2018,data,1,5.9824591371544,0.167155341486487
G,PR,16695696.95,1912607.491228,2018,data,1,8.72928555732072,0.114556912296375
G,RJ,15859548.86,1509709.08613175,2018,data,1,10.5050363713688,0.095192435765903
G,RN,2926399.89,458651.221777,2018,data,1,6.38044716999106,0.156728826892144
G,RO,2268717.34,322645.199681,2018,data,1,7.03161659384081,0.142214807456358
G,RR,1032591.69,106325.5348715,2018,data,1,9.71160588327104,0.102969582169986
G,RS,15980404.89,2610459.85566275,2018,data,1,6.12168191567262,0.163353799458253
G,SC,11286606.42,2074348.09717275,2018,data,1,5.44103780623087,0.183788467496925
G,SE,1985002.67,279160.026187,2018,data,1,7.11062646437177,0.140634584731818
G,SP,66291311.73,6355078.5243785,2018,data,1,10.4312340871481,0.0958659341402431
G,TO,1780611.94,263213.64628825,2018,data,1,6.7648921897082,0.14782201577748
