fuel,region,estimation_t,consumption_t,Year,type,sppm,kinitial,estimation_consumption,kfinal
E,AL,17844255.45,62758.282597,2018,data,0,1,284.333074641099,0.00351700202750684
E,AM,17844255.45,73239.515089,2018,data,0,1,243.642457603874,0.00410437495104342
E,AP,17844255.45,751.144365,2018,data,0,1,23756.0930780596,4.20944637956301e-05
E,BA,17844255.45,405533.195743,2018,data,0,1,44.0019599808754,0.0227262603855517
E,CE,17844255.45,137296.229742,2018,data,0,1,129.96901286752,0.0076941416875984
E,DF,17844255.45,135612.169229,2018,data,0,1,131.582995474894,0.0075997661885635
E,ES,17844255.45,42921.190816,2018,data,0,1,415.744649921225,0.00240532259450478
E,GO,17844255.45,1226901.043741,2018,data,0,1,14.5441684486552,0.0687560793544345
E,MA,17844255.45,30175.069789,2018,data,0,1,591.357553595615,0.00169102431163638
E,MG,17844255.45,2013046.793741,2018,data,0,1,8.86430236270794,0.112812036309478
E,MS,17844255.45,107904.203997,2018,data,0,1,165.3712718227,0.00604699951193537
E,MT,17844255.45,680063.816076,2018,data,0,1,26.2390896680288,0.0381110782672639
E,PA,17844255.45,43400.76278,2018,data,0,1,411.150733466441,0.00243219802034385
E,PB,17844255.45,133633.918293,2018,data,0,1,133.530885556131,0.00748890412757457
E,PE,17844255.45,301194.651965,2018,data,0,1,59.2449279347549,0.0168790820557884
E,PI,17844255.45,58476.991495,2018,data,0,1,305.150025570754,0.00327707657284182
E,PR,17844255.45,1266960.672117,2018,data,0,1,14.0843009911141,0.0710010387189901
E,RJ,17844255.45,603798.189565,2018,data,0,1,29.5533437469491,0.0338371186882443
E,RN,17844255.45,81683.490612,2018,data,0,1,218.456083552562,0.00457757908929734
E,RO,17844255.45,12652.76809,2018,data,0,1,1410.30447433104,0.000709066742821147
E,RR,17844255.45,1618,2018,data,0,1,11028.5880407911,9.0673438549099e-05
E,RS,17844255.45,55992.846971,2018,data,0,1,318.688125632225,0.0031378640105155
E,SC,17844255.45,77910.507963,2018,data,0,1,229.035285695664,0.00436613946607674
E,SE,17844255.45,39184.482109,2018,data,0,1,455.390871324072,0.00219591577910302
E,SP,17844255.45,8055019.895745,2018,data,0,1,2.21529626009069,0.451406892168482
E,TO,17844255.45,27604.465817,2018,data,0,1,646.426399565057,0.00154696652344775
G,AC,20723450.11,100973.200377,2018,data,10,1,205.237132552257,0.00487241264562776
G,AL,20723450.11,315064.33928025,2018,data,10,1,65.775295793049,0.0152032763660438
G,AM,20723450.11,463244.75738975,2018,data,10,1,44.7354228610608,0.0223536503299812
G,AP,20723450.11,119179.1918415,2018,data,10,1,173.884801447225,0.00575093390380932
G,BA,20723450.11,1516623.00474125,2018,data,10,1,13.6642066256509,0.0731839050298585
G,CE,20723450.11,1002978.35046325,2018,data,10,1,20.6619116957294,0.0483982322026229
G,DF,20723450.11,822728.83494025,2018,data,10,1,25.1886760617853,0.0397003795494094
G,ES,20723450.11,686099.79781875,2018,data,10,1,30.2047168296566,0.0331074118535733
G,GO,20723450.11,922501.3183435,2018,data,10,1,22.4644124598242,0.0445148521817973
G,MA,20723450.11,711528.033979,2018,data,10,1,29.1252756326557,0.0343344390148461
G,MG,20723450.11,2694720.249529,2018,data,10,1,7.69039016707659,0.130032414256576
G,MS,20723450.11,537544.0837655,2018,data,10,1,38.552094118183,0.0259389281665079
G,MT,20723450.11,393610.84665175,2018,data,10,1,52.6495910523909,0.0189934998546316
G,PA,20723450.11,857241.12912375,2018,data,10,1,24.1745868297091,0.0413657535098411
G,PB,20723450.11,481051.66461975,2018,data,10,1,43.0794686603589,0.0232129139726411
G,PE,20723450.11,988925.5845805,2018,data,10,1,20.955520246542,0.0477201228237232
G,PI,20723450.11,420616.43754025,2018,data,10,1,49.2692350094305,0.020296641500697
G,PR,20723450.11,1912607.491228,2018,data,10,1,10.8351819205175,0.0922919437195972
G,RJ,20723450.11,1509709.08613175,2018,data,10,1,13.7267837230142,0.0728502772520126
G,RN,20723450.11,458651.221777,2018,data,10,1,45.1834621299143,0.0221319915044301
G,RO,20723450.11,322645.199681,2018,data,10,1,64.2298417285902,0.0155690870954595
G,RR,20723450.11,106325.5348715,2018,data,10,1,194.90567468149,0.00513068694194859
G,RS,20723450.11,2610459.85566275,2018,data,10,1,7.93862049441043,0.125966469955844
G,SC,20723450.11,2074348.09717275,2018,data,10,1,9.9903435388907,0.100096657948465
G,SE,20723450.11,279160.026187,2018,data,10,1,74.2350199384136,0.0134707312105475
G,SP,20723450.11,6355078.5243785,2018,data,10,1,3.26092746619943,0.306661221497664
G,TO,20723450.11,263213.64628825,2018,data,10,1,78.7324304884458,0.0127012464088322
