array_x,g,veh,fuel,type_emi,pollutant,age,hour
array_x_1,6071640.40230895,PV_MEDIUM_G,G,Exhaust,FC,1,1
array_x_2,5935457.13744412,PV_MEDIUM_G,G,Exhaust,FC,2,1
array_x_3,4414608.82645474,PV_MEDIUM_G,G,Exhaust,FC,3,1
array_x_4,4651975.67061285,PV_MEDIUM_G,G,Exhaust,FC,4,1
array_x_5,4655983.08595033,PV_MEDIUM_G,G,Exhaust,FC,5,1
array_x_6,5732362.14508285,PV_MEDIUM_G,G,Exhaust,FC,6,1
array_x_7,5279699.96308329,PV_MEDIUM_G,G,Exhaust,FC,7,1
array_x_8,4832959.37323339,PV_MEDIUM_G,G,Exhaust,FC,8,1
array_x_9,4199511.03746573,PV_MEDIUM_G,G,Exhaust,FC,9,1
array_x_10,4726837.85104846,PV_MEDIUM_G,G,Exhaust,FC,10,1
array_x_11,4290882.79379372,PV_MEDIUM_G,G,Exhaust,FC,11,1
array_x_12,2438638.0796596,PV_MEDIUM_G,G,Exhaust,FC,12,1
array_x_13,4666550.50564676,PV_MEDIUM_G,G,Exhaust,FC,13,1
array_x_14,2718056.91852092,PV_MEDIUM_G,G,Exhaust,FC,14,1
array_x_15,1337443.73019171,PV_MEDIUM_G,G,Exhaust,FC,15,1
array_x_16,771495.479866231,PV_MEDIUM_G,G,Exhaust,FC,16,1
array_x_17,378298.770457074,PV_MEDIUM_G,G,Exhaust,FC,17,1
array_x_18,178935.805125079,PV_MEDIUM_G,G,Exhaust,FC,18,1
array_x_19,55460.9713654818,PV_MEDIUM_G,G,Exhaust,FC,19,1
array_x_20,24347.5444896099,PV_MEDIUM_G,G,Exhaust,FC,20,1
array_x_21,4875.87373573324,PV_MEDIUM_G,G,Exhaust,FC,21,1
array_x_22,1001.99222823212,PV_MEDIUM_G,G,Exhaust,FC,22,1
array_x_23,153.413784488925,PV_MEDIUM_G,G,Exhaust,FC,23,1
array_x_24,6407.13297346631,PV_MEDIUM_G,G,Exhaust,FC,24,1
array_x_25,499.793434269612,PV_MEDIUM_G,G,Exhaust,FC,25,1
array_x_26,26.1275931752267,PV_MEDIUM_G,G,Exhaust,FC,26,1
array_x_27,0.873977423409146,PV_MEDIUM_G,G,Exhaust,FC,27,1
array_x_28,0.0178021015974379,PV_MEDIUM_G,G,Exhaust,FC,28,1
array_x_29,0.000209418942355376,PV_MEDIUM_G,G,Exhaust,FC,29,1
array_x_30,1.34468241222237e-06,PV_MEDIUM_G,G,Exhaust,FC,30,1
array_x_1,4326409.06531172,PV_MEDIUM_G,G,Exhaust,FC,1,2
array_x_2,4229370.29611339,PV_MEDIUM_G,G,Exhaust,FC,2,2
array_x_3,3145674.37809981,PV_MEDIUM_G,G,Exhaust,FC,3,2
array_x_4,3314812.53489506,PV_MEDIUM_G,G,Exhaust,FC,4,2
array_x_5,3317668.05941491,PV_MEDIUM_G,G,Exhaust,FC,5,2
array_x_6,4084652.89556754,PV_MEDIUM_G,G,Exhaust,FC,6,2
array_x_7,3762103.85808141,PV_MEDIUM_G,G,Exhaust,FC,7,2
array_x_8,3443774.31125346,PV_MEDIUM_G,G,Exhaust,FC,8,2
array_x_9,2992404.26285112,PV_MEDIUM_G,G,Exhaust,FC,9,2
array_x_10,3368156.34227246,PV_MEDIUM_G,G,Exhaust,FC,10,2
array_x_11,3057512.13629179,PV_MEDIUM_G,G,Exhaust,FC,11,2
array_x_12,1737676.34375077,PV_MEDIUM_G,G,Exhaust,FC,12,2
array_x_13,3325197.98169987,PV_MEDIUM_G,G,Exhaust,FC,13,2
array_x_14,1936779.07668086,PV_MEDIUM_G,G,Exhaust,FC,14,2
array_x_15,953009.120310434,PV_MEDIUM_G,G,Exhaust,FC,15,2
array_x_16,549736.943688391,PV_MEDIUM_G,G,Exhaust,FC,16,2
array_x_17,269560.632951741,PV_MEDIUM_G,G,Exhaust,FC,17,2
array_x_18,127502.526188408,PV_MEDIUM_G,G,Exhaust,FC,18,2
array_x_19,39519.2787101433,PV_MEDIUM_G,G,Exhaust,FC,19,2
array_x_20,17349.0902323317,PV_MEDIUM_G,G,Exhaust,FC,20,2
array_x_21,3474.35337632471,PV_MEDIUM_G,G,Exhaust,FC,21,2
array_x_22,713.979743916779,PV_MEDIUM_G,G,Exhaust,FC,22,2
array_x_23,109.31655104348,PV_MEDIUM_G,G,Exhaust,FC,23,2
array_x_24,4565.46770597956,PV_MEDIUM_G,G,Exhaust,FC,24,2
array_x_25,356.132890212838,PV_MEDIUM_G,G,Exhaust,FC,25,2
array_x_26,18.6174820111366,PV_MEDIUM_G,G,Exhaust,FC,26,2
array_x_27,0.622761493924637,PV_MEDIUM_G,G,Exhaust,FC,27,2
array_x_28,0.0126850683883496,PV_MEDIUM_G,G,Exhaust,FC,28,2
array_x_29,0.000149223595374611,PV_MEDIUM_G,G,Exhaust,FC,29,2
array_x_30,9.58167116746853e-07,PV_MEDIUM_G,G,Exhaust,FC,30,2
array_x_1,4311744.41196398,PV_MEDIUM_G,G,Exhaust,FC,1,3
array_x_2,4215034.56217435,PV_MEDIUM_G,G,Exhaust,FC,2,3
array_x_3,3135011.90407035,PV_MEDIUM_G,G,Exhaust,FC,3,3
array_x_4,3303576.75575278,PV_MEDIUM_G,G,Exhaust,FC,4,3
array_x_5,3306422.60128099,PV_MEDIUM_G,G,Exhaust,FC,5,3
array_x_6,4070807.6909521,PV_MEDIUM_G,G,Exhaust,FC,6,3
array_x_7,3749351.9550357,PV_MEDIUM_G,G,Exhaust,FC,7,3
array_x_8,3432101.40753122,PV_MEDIUM_G,G,Exhaust,FC,8,3
array_x_9,2982261.30814467,PV_MEDIUM_G,G,Exhaust,FC,9,3
array_x_10,3356739.75072165,PV_MEDIUM_G,G,Exhaust,FC,10,3
array_x_11,3047148.49408682,PV_MEDIUM_G,G,Exhaust,FC,11,3
array_x_12,1731786.3733788,PV_MEDIUM_G,G,Exhaust,FC,12,3
array_x_13,3313927.00038994,PV_MEDIUM_G,G,Exhaust,FC,13,3
array_x_14,1930214.23425798,PV_MEDIUM_G,G,Exhaust,FC,14,3
array_x_15,949778.832056223,PV_MEDIUM_G,G,Exhaust,FC,15,3
array_x_16,547873.573491552,PV_MEDIUM_G,G,Exhaust,FC,16,3
array_x_17,268646.939128813,PV_MEDIUM_G,G,Exhaust,FC,17,3
array_x_18,127070.347834653,PV_MEDIUM_G,G,Exhaust,FC,18,3
array_x_19,39385.325467607,PV_MEDIUM_G,G,Exhaust,FC,19,3
array_x_20,17290.2843287948,PV_MEDIUM_G,G,Exhaust,FC,20,3
array_x_21,3462.57682281296,PV_MEDIUM_G,G,Exhaust,FC,21,3
array_x_22,711.559661746141,PV_MEDIUM_G,G,Exhaust,FC,22,3
array_x_23,108.946015270736,PV_MEDIUM_G,G,Exhaust,FC,23,3
array_x_24,4549.99274735503,PV_MEDIUM_G,G,Exhaust,FC,24,3
array_x_25,354.925753924554,PV_MEDIUM_G,G,Exhaust,FC,25,3
array_x_26,18.5543768086975,PV_MEDIUM_G,G,Exhaust,FC,26,3
array_x_27,0.620650602122947,PV_MEDIUM_G,G,Exhaust,FC,27,3
array_x_28,0.01264207149929,PV_MEDIUM_G,G,Exhaust,FC,28,3
array_x_29,0.000148717792001782,PV_MEDIUM_G,G,Exhaust,FC,29,3
array_x_30,9.54919345118193e-07,PV_MEDIUM_G,G,Exhaust,FC,30,3
array_x_1,6291625.49014906,PV_MEDIUM_G,G,Exhaust,FC,1,4
array_x_2,6150508.09126138,PV_MEDIUM_G,G,Exhaust,FC,2,4
array_x_3,4574557.05232432,PV_MEDIUM_G,G,Exhaust,FC,3,4
array_x_4,4820524.07083442,PV_MEDIUM_G,G,Exhaust,FC,4,4
array_x_5,4824676.68113679,PV_MEDIUM_G,G,Exhaust,FC,5,4
array_x_6,5940054.64767866,PV_MEDIUM_G,G,Exhaust,FC,6,4
array_x_7,5470991.80238699,PV_MEDIUM_G,G,Exhaust,FC,7,4
array_x_8,5008065.09784846,PV_MEDIUM_G,G,Exhaust,FC,8,4
array_x_9,4351665.93190104,PV_MEDIUM_G,G,Exhaust,FC,9,4
array_x_10,4898098.62589169,PV_MEDIUM_G,G,Exhaust,FC,10,4
array_x_11,4446348.23076943,PV_MEDIUM_G,G,Exhaust,FC,11,4
array_x_12,2526993.77542184,PV_MEDIUM_G,G,Exhaust,FC,12,4
array_x_13,4835626.97508073,PV_MEDIUM_G,G,Exhaust,FC,13,4
array_x_14,2816536.39858826,PV_MEDIUM_G,G,Exhaust,FC,14,4
array_x_15,1385901.42151934,PV_MEDIUM_G,G,Exhaust,FC,15,4
array_x_16,799447.975347038,PV_MEDIUM_G,G,Exhaust,FC,16,4
array_x_17,392005.130309539,PV_MEDIUM_G,G,Exhaust,FC,17,4
array_x_18,185418.930969161,PV_MEDIUM_G,G,Exhaust,FC,18,4
array_x_19,57470.4096472506,PV_MEDIUM_G,G,Exhaust,FC,19,4
array_x_20,25229.6943467064,PV_MEDIUM_G,G,Exhaust,FC,20,4
array_x_21,5052.53431524397,PV_MEDIUM_G,G,Exhaust,FC,21,4
array_x_22,1038.29598368162,PV_MEDIUM_G,G,Exhaust,FC,22,4
array_x_23,158.972207356631,PV_MEDIUM_G,G,Exhaust,FC,23,4
array_x_24,6639.27348518622,PV_MEDIUM_G,G,Exhaust,FC,24,4
